Fechas;Serie;Indice;Variable
2024-04-01;exper_seas_naive;384.96070113538866;Prendas de Vestir y Calzado
2024-05-01;exper_seas_naive;385.7052441669411;Prendas de Vestir y Calzado
2024-06-01;exper_seas_naive;387.2652297587257;Prendas de Vestir y Calzado
2024-07-01;exper_seas_naive;389.3306391997279;Prendas de Vestir y Calzado
2024-08-01;exper_seas_naive;390.2905300611532;Prendas de Vestir y Calzado
2024-09-01;exper_seas_naive;391.52288115957657;Prendas de Vestir y Calzado
2024-10-01;exper_seas_naive;392.78784428620116;Prendas de Vestir y Calzado
2023-11-01;struc_ss;383.45867256148125;Prendas de Vestir y Calzado
2023-12-01;struc_ss;384.8733264578769;Prendas de Vestir y Calzado
2024-01-01;struc_ss;387.0566766943025;Prendas de Vestir y Calzado
2024-02-01;struc_ss;388.2316614580886;Prendas de Vestir y Calzado
2024-03-01;struc_ss;389.7714291378511;Prendas de Vestir y Calzado
